,Farm.var_capitalMu,Farm.var_employeesMu,Farm.var_goodwillMu,Farm.var_total_value_destroyedMu,Farm.var_valueProducedMu
Farm.const_itersMu,-0.1504344780198014,0.7942439038621079,-0.9713687459276272,0.9652076470021566,-0.9744095236182077
Farm.const_itersSigma,-0.09039338612532043,0.8213754159495715,0.2788087210582478,0.46722136938280917,0.4739268924098766
Farm.const_number,0.424167315957666,-0.9534587155420415,-0.3650707720199485,0.6179049769294105,-0.17948533194948948
Farm.const_produced,-0.20705403942457193,0.04997057318814162,0.4427100034949472,-0.602700647122836,-0.05012312799492353
Farm.const_required,-0.6788993172965071,-0.8339818334871861,-0.2018854535873707,-0.6024982472568612,-0.5227766783772326
Farm.const_salaryMu,0.041791812799563816,0.10119880844053564,0.4766440025798654,-0.401009950922943,0.6893150635954904
Farm.const_salarySigma,-0.07262248826358447,0.06689031899429504,0.3976962887504427,-0.22190218024004024,0.16187614073340428
Farm.const_time,0.018429240483171756,-0.11290721941918468,-0.2743961762275838,-0.2968711957101063,0.2755046782358029
Farm.var_capitalMu,0.6974531949905096,0.06718515807408515,-0.12556832963710385,-0.36908434984152666,-0.2679510153540283
Farm.var_employeesMu,-0.11444702184986574,0.6180626490124099,0.591711876611161,-0.10321115347910825,0.2532347499520689
Farm.var_goodwillMu,0.10325014866895141,0.0009643634546499213,0.11245430004913065,-0.026924605969279525,0.08162462238602572
Farm.var_total_value_destroyedMu,-0.05059697127190808,0.12974971480369696,0.03470377789408446,0.9550805986670827,0.014015758930726327
Farm.var_valueProducedMu,-0.23097271453644674,0.048251430363522425,0.755583662282871,-0.10317314545978841,0.8227359242669071
Person.var_capitalMu,0.018922789561612363,-0.029562251033584747,0.03075527276625151,-0.013495896239674225,-0.013386999295198819
Person.var_happinessMu,0.018438868905052724,0.03644024295445953,0.022172031771610354,0.08692161393097213,-0.017470951298701146
Person.var_salaryMu,0.1749214445914754,-0.10728810969088967,-0.14825651532739106,-0.004803181905400614,-0.0695695121350413
Person.var_total_value_destroyedMu,0.034471211731883944,-0.00885838817834874,-0.05891907503459728,0.011554793171820022,0.012317566105453481
